"gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Tfb2m","NKT_cells",0.723,5.15,8.33,0.0164,0.116,0.0871,"WB","Compartment","muscat_edgeR"
"Cnst","NKT_cells",0.231,5.48,1.24,0.291,0.517,0.482,"WB","Compartment","muscat_edgeR"
"Ahctf1","NKT_cells",-0.0228,6.53,0.016,0.902,0.953,0.947,"WB","Compartment","muscat_edgeR"
"Coq8a","NKT_cells",0.238,3.38,0.151,0.706,0.843,0.826,"WB","Compartment","muscat_edgeR"
"Psen2","NKT_cells",-0.11,6.56,0.395,0.544,0.733,0.708,"WB","Compartment","muscat_edgeR"
"Itpkb","NKT_cells",0.301,8.31,3.63,0.0862,0.268,0.227,"WB","Compartment","muscat_edgeR"
"Parp1","NKT_cells",-0.191,6.03,0.974,0.347,0.571,0.537,"WB","Compartment","muscat_edgeR"
"Lin9","NKT_cells",-0.419,4.16,1.7,0.222,0.445,0.407,"WB","Compartment","muscat_edgeR"
"Acbd3","NKT_cells",-0.0388,6.08,0.0407,0.844,0.923,0.915,"WB","Compartment","muscat_edgeR"
"H3f3a","NKT_cells",0.415,9.46,9.08,0.0132,0.105,0.0771,"WB","Compartment","muscat_edgeR"
"Sde2","NKT_cells",-0.158,5.38,0.442,0.521,0.716,0.689,"WB","Compartment","muscat_edgeR"
"Pycr2","NKT_cells",0.355,5.29,2.26,0.164,0.379,0.338,"WB","Compartment","muscat_edgeR"
"Tmem63a","NKT_cells",0.145,5.04,0.379,0.552,0.74,0.714,"WB","Compartment","muscat_edgeR"
"Ephx1","NKT_cells",0.179,4.32,0.289,0.603,0.774,0.752,"WB","Compartment","muscat_edgeR"
"Nvl","NKT_cells",0.0301,5.59,0.024,0.88,0.942,0.935,"WB","Compartment","muscat_edgeR"
"Cnih4","NKT_cells",-0.0748,5.04,0.0846,0.777,0.885,0.873,"WB","Compartment","muscat_edgeR"
"Wdr26","NKT_cells",-0.0206,7.41,0.0104,0.921,0.961,0.957,"WB","Compartment","muscat_edgeR"
"Lbr","NKT_cells",0.161,7.25,1.08,0.324,0.547,0.515,"WB","Compartment","muscat_edgeR"
"Srp9","NKT_cells",0.276,7.14,3.47,0.0925,0.279,0.238,"WB","Compartment","muscat_edgeR"
"Gm33887","NKT_cells",0.698,5.02,4.37,0.0633,0.228,0.189,"WB","Compartment","muscat_edgeR"
"Degs1","NKT_cells",0.235,5.83,1.35,0.272,0.498,0.463,"WB","Compartment","muscat_edgeR"
"Fbxo28","NKT_cells",-0.215,5.74,0.689,0.426,0.638,0.609,"WB","Compartment","muscat_edgeR"
"Trp53bp2","NKT_cells",-0.179,5.21,0.487,0.501,0.7,0.673,"WB","Compartment","muscat_edgeR"
"Capn2","NKT_cells",0.199,6.19,0.646,0.441,0.651,0.622,"WB","Compartment","muscat_edgeR"
"Disp1","NKT_cells",-0.972,4.52,9.66,0.0113,0.0974,0.0712,"WB","Compartment","muscat_edgeR"
"Brox","NKT_cells",0.029,5.25,0.0193,0.892,0.948,0.942,"WB","Compartment","muscat_edgeR"
"Aida","NKT_cells",-0.387,5,2.18,0.171,0.389,0.348,"WB","Compartment","muscat_edgeR"
"Mia3","NKT_cells",0.0956,7.01,0.356,0.564,0.747,0.723,"WB","Compartment","muscat_edgeR"
"Taf1a","NKT_cells",-0.112,4.33,0.129,0.727,0.856,0.841,"WB","Compartment","muscat_edgeR"
"Dusp10","NKT_cells",2.04,5.82,57.1,0.0000208,0.00312,0.00278,"WB","Compartment","muscat_edgeR"
"Mtarc2","NKT_cells",0.207,6.75,1.56,0.24,0.465,0.428,"WB","Compartment","muscat_edgeR"
"Rab3gap2","NKT_cells",-0.499,5.41,4.45,0.0614,0.225,0.186,"WB","Compartment","muscat_edgeR"
"Iars2","NKT_cells",-0.5,5.58,5.13,0.0473,0.196,0.159,"WB","Compartment","muscat_edgeR"
"Bpnt1","NKT_cells",0.491,3.67,1.36,0.271,0.496,0.461,"WB","Compartment","muscat_edgeR"
"4930532G15Rik","NKT_cells",1.17,3.24,3.84,0.0792,0.258,0.216,"WB","Compartment","muscat_edgeR"
"Eprs","NKT_cells",0.0582,7.27,0.101,0.757,0.874,0.86,"WB","Compartment","muscat_edgeR"
"Rrp15","NKT_cells",-0.198,4.86,0.537,0.481,0.685,0.655,"WB","Compartment","muscat_edgeR"
"Gpatch2","NKT_cells",-0.699,5.45,9.78,0.0109,0.0957,0.07,"WB","Compartment","muscat_edgeR"
"Kctd3","NKT_cells",-1.08,3.84,6.6,0.0282,0.15,0.118,"WB","Compartment","muscat_edgeR"
"Cenpf","NKT_cells",-6.78,3.07,14.6,0.00416,0.0596,0.0418,"WB","Compartment","muscat_edgeR"
"Smyd2","NKT_cells",-0.656,4.67,5.01,0.0495,0.2,0.163,"WB","Compartment","muscat_edgeR"
"Rps6kc1","NKT_cells",-0.282,3.76,0.412,0.535,0.726,0.701,"WB","Compartment","muscat_edgeR"
"Angel2","NKT_cells",0.102,5.9,0.321,0.584,0.76,0.738,"WB","Compartment","muscat_edgeR"
"Flvcr1","NKT_cells",0.129,4.1,0.113,0.744,0.866,0.851,"WB","Compartment","muscat_edgeR"
"D730003I15Rik","NKT_cells",-0.133,3.13,0.0441,0.838,0.921,0.912,"WB","Compartment","muscat_edgeR"
"Nenf","NKT_cells",-0.606,3.23,1.69,0.223,0.446,0.409,"WB","Compartment","muscat_edgeR"
"Pacc1","NKT_cells",-1.18,3.31,5.61,0.0398,0.179,0.144,"WB","Compartment","muscat_edgeR"
"Ppp2r5a","NKT_cells",-0.215,7.81,0.544,0.478,0.684,0.653,"WB","Compartment","muscat_edgeR"
"Ints7","NKT_cells",-0.249,5.47,1.17,0.305,0.529,0.495,"WB","Compartment","muscat_edgeR"
"Lpgat1","NKT_cells",-0.554,5.01,5.54,0.0406,0.181,0.145,"WB","Compartment","muscat_edgeR"
"Slc30a1","NKT_cells",-1.01,3.57,4.39,0.0629,0.227,0.188,"WB","Compartment","muscat_edgeR"
"Traf5","NKT_cells",0.192,5.95,0.873,0.372,0.593,0.56,"WB","Compartment","muscat_edgeR"
"Rcor3","NKT_cells",-0.373,4.28,0.712,0.419,0.632,0.602,"WB","Compartment","muscat_edgeR"
"Utp25","NKT_cells",-0.588,4.77,2.84,0.123,0.325,0.284,"WB","Compartment","muscat_edgeR"
"Traf3ip3","NKT_cells",0.301,7.38,4.47,0.061,0.224,0.185,"WB","Compartment","muscat_edgeR"
"Lamb3","NKT_cells",0.629,6,12.5,0.00548,0.068,0.0483,"WB","Compartment","muscat_edgeR"
"Hsd11b1","NKT_cells",-0.429,7.59,8.59,0.0152,0.112,0.0833,"WB","Compartment","muscat_edgeR"
"G0s2","NKT_cells",-1.44,4.17,11.5,0.00695,0.0772,0.0551,"WB","Compartment","muscat_edgeR"
"A330023F24Rik","NKT_cells",0.362,6.07,3.44,0.0939,0.28,0.24,"WB","Compartment","muscat_edgeR"
"Cd46","NKT_cells",-0.251,4.02,0.543,0.478,0.684,0.653,"WB","Compartment","muscat_edgeR"
"Cr1l","NKT_cells",0.214,7.02,1.94,0.194,0.415,0.376,"WB","Compartment","muscat_edgeR"
"Nmt2","NKT_cells",-0.163,5.13,0.39,0.546,0.735,0.71,"WB","Compartment","muscat_edgeR"
"Dclre1c","NKT_cells",-0.338,5.03,1.96,0.192,0.412,0.372,"WB","Compartment","muscat_edgeR"
"Hspa14","NKT_cells",0.107,5.76,0.211,0.656,0.813,0.792,"WB","Compartment","muscat_edgeR"
"Fam107b","NKT_cells",1.01,9.02,45.6,0.0000536,0.00575,0.00457,"WB","Compartment","muscat_edgeR"
"Frmd4a","NKT_cells",-0.753,3.94,5.01,0.0495,0.2,0.163,"WB","Compartment","muscat_edgeR"
"Prpf18","NKT_cells",-0.0514,5.39,0.0444,0.837,0.92,0.911,"WB","Compartment","muscat_edgeR"
"Sephs1","NKT_cells",-0.938,4.45,8.74,0.0146,0.11,0.0814,"WB","Compartment","muscat_edgeR"
"Phyh","NKT_cells",0.433,4.74,2.67,0.134,0.341,0.298,"WB","Compartment","muscat_edgeR"
"Camk1d","NKT_cells",-1.22,11.9,7.12,0.0238,0.139,0.107,"WB","Compartment","muscat_edgeR"
"Cdc123","NKT_cells",0.0246,6.08,0.0205,0.889,0.947,0.94,"WB","Compartment","muscat_edgeR"
"Nudt5","NKT_cells",-0.397,5.01,2.73,0.13,0.334,0.292,"WB","Compartment","muscat_edgeR"
"Sec61a2","NKT_cells",-0.582,3.77,2.26,0.164,0.379,0.337,"WB","Compartment","muscat_edgeR"
"Upf2","NKT_cells",0.0929,5.98,0.209,0.657,0.813,0.793,"WB","Compartment","muscat_edgeR"
"Usp6nl","NKT_cells",-0.119,3.66,0.0672,0.801,0.9,0.888,"WB","Compartment","muscat_edgeR"
"Celf2","NKT_cells",0.14,9.22,1.02,0.337,0.56,0.527,"WB","Compartment","muscat_edgeR"
"Gata3","NKT_cells",-0.000768,6.1,0.0000129,0.997,0.999,0.999,"WB","Compartment","muscat_edgeR"
"Taf3","NKT_cells",0.0883,6.54,0.281,0.608,0.777,0.755,"WB","Compartment","muscat_edgeR"
"Atp5c1","NKT_cells",0.367,7.67,5.76,0.0376,0.174,0.139,"WB","Compartment","muscat_edgeR"
"Kin","NKT_cells",0.801,4.95,11.8,0.00645,0.0731,0.0527,"WB","Compartment","muscat_edgeR"
"Itih5","NKT_cells",-0.538,4.42,3.8,0.0801,0.26,0.218,"WB","Compartment","muscat_edgeR"
"Sfmbt2","NKT_cells",-1.41,3.84,9.43,0.012,0.101,0.0736,"WB","Compartment","muscat_edgeR"
"Prkcq","NKT_cells",-0.256,9.2,3.27,0.101,0.291,0.25,"WB","Compartment","muscat_edgeR"
"Pfkfb3","NKT_cells",-0.486,5.78,4.85,0.0526,0.206,0.169,"WB","Compartment","muscat_edgeR"
"Rbm17","NKT_cells",0.489,6.29,6.65,0.0277,0.149,0.116,"WB","Compartment","muscat_edgeR"
"Il2ra","NKT_cells",-0.956,4.63,6.25,0.0317,0.16,0.126,"WB","Compartment","muscat_edgeR"
"Il15ra","NKT_cells",-0.256,4.25,0.507,0.493,0.694,0.665,"WB","Compartment","muscat_edgeR"
"Fbh1","NKT_cells",-0.226,4.66,0.784,0.397,0.615,0.583,"WB","Compartment","muscat_edgeR"
"Ankrd16","NKT_cells",-0.163,4.82,0.298,0.597,0.769,0.748,"WB","Compartment","muscat_edgeR"
"Mindy3","NKT_cells",0.319,5.93,3.18,0.105,0.297,0.257,"WB","Compartment","muscat_edgeR"
"Rsu1","NKT_cells",0.0221,5.9,0.0124,0.914,0.958,0.953,"WB","Compartment","muscat_edgeR"
"Trdmt1","NKT_cells",-0.417,3.28,0.584,0.463,0.672,0.641,"WB","Compartment","muscat_edgeR"
"Vim","NKT_cells",0.816,9.19,17.7,0.00187,0.0408,0.0282,"WB","Compartment","muscat_edgeR"
"Stam","NKT_cells",-0.00832,4.7,0.00092,0.976,0.989,0.988,"WB","Compartment","muscat_edgeR"
"Nsun6","NKT_cells",0.604,4.75,5.5,0.0412,0.183,0.147,"WB","Compartment","muscat_edgeR"
"Arl5b","NKT_cells",0.558,4.91,5.08,0.0482,0.197,0.16,"WB","Compartment","muscat_edgeR"
"Nebl","NKT_cells",0.918,4.27,8.47,0.0158,0.114,0.085,"WB","Compartment","muscat_edgeR"
"Mllt10","NKT_cells",-0.209,7.4,1.67,0.226,0.45,0.413,"WB","Compartment","muscat_edgeR"
"Dnajc1","NKT_cells",-0.03,7.76,0.0434,0.839,0.921,0.912,"WB","Compartment","muscat_edgeR"
"Commd3","NKT_cells",-0.0151,5.87,0.0068,0.936,0.968,0.965,"WB","Compartment","muscat_edgeR"
"Bmi1","NKT_cells",0.229,4.62,0.369,0.558,0.743,0.718,"WB","Compartment","muscat_edgeR"
"Pip4k2a","NKT_cells",-0.498,7.2,6.34,0.0307,0.157,0.124,"WB","Compartment","muscat_edgeR"
"Msrb2","NKT_cells",-0.488,3.47,1.34,0.274,0.499,0.464,"WB","Compartment","muscat_edgeR"
"Otud1","NKT_cells",0.51,4.18,1.21,0.298,0.522,0.488,"WB","Compartment","muscat_edgeR"
"Arhgap21","NKT_cells",-0.412,5.21,3.03,0.113,0.309,0.268,"WB","Compartment","muscat_edgeR"
"Apbb1ip","NKT_cells",0.054,9.08,0.132,0.724,0.854,0.839,"WB","Compartment","muscat_edgeR"
"Pdss1","NKT_cells",-0.434,4.28,1.86,0.203,0.425,0.386,"WB","Compartment","muscat_edgeR"
"Abi1","NKT_cells",0.248,7.53,2.38,0.154,0.367,0.326,"WB","Compartment","muscat_edgeR"
"Acbd5","NKT_cells",0.311,6.16,2.94,0.118,0.317,0.276,"WB","Compartment","muscat_edgeR"
"Yme1l1","NKT_cells",0.259,6.62,2.23,0.166,0.382,0.341,"WB","Compartment","muscat_edgeR"
"Spopl","NKT_cells",-0.441,5.76,3.79,0.0805,0.26,0.218,"WB","Compartment","muscat_edgeR"
"Psd4","NKT_cells",-0.208,7.2,1.83,0.207,0.429,0.391,"WB","Compartment","muscat_edgeR"
"Ehmt1","NKT_cells",-0.0765,6.56,0.156,0.701,0.84,0.823,"WB","Compartment","muscat_edgeR"
"Arrdc1","NKT_cells",0.351,5.96,3.43,0.0941,0.28,0.24,"WB","Compartment","muscat_edgeR"
"Zmynd19","NKT_cells",-0.749,3.76,2.66,0.135,0.342,0.299,"WB","Compartment","muscat_edgeR"
"Dph7","NKT_cells",0.444,4.16,2.33,0.158,0.371,0.33,"WB","Compartment","muscat_edgeR"
"Mrpl41","NKT_cells",-0.138,5.13,0.357,0.564,0.747,0.723,"WB","Compartment","muscat_edgeR"
"Pnpla7","NKT_cells",0.365,6.84,3.72,0.083,0.264,0.222,"WB","Compartment","muscat_edgeR"
"Nsmf","NKT_cells",-0.47,3.16,0.902,0.365,0.586,0.554,"WB","Compartment","muscat_edgeR"
"Tor4a","NKT_cells",-0.699,5.39,6.38,0.0303,0.156,0.123,"WB","Compartment","muscat_edgeR"
"Nelfb","NKT_cells",0.0744,5.8,0.145,0.711,0.846,0.83,"WB","Compartment","muscat_edgeR"
"Tubb4b","NKT_cells",-0.272,6.88,2.34,0.157,0.37,0.329,"WB","Compartment","muscat_edgeR"
"Ndor1","NKT_cells",-0.00854,5.11,0.00129,0.972,0.987,0.986,"WB","Compartment","muscat_edgeR"
"Tmem203","NKT_cells",0.0827,4.22,0.0548,0.82,0.911,0.9,"WB","Compartment","muscat_edgeR"
"Tprn","NKT_cells",0.449,3.33,1.2,0.3,0.525,0.491,"WB","Compartment","muscat_edgeR"
"Ssna1","NKT_cells",0.407,5.85,3.89,0.0772,0.254,0.213,"WB","Compartment","muscat_edgeR"
"Anapc2","NKT_cells",0.41,5.49,3.93,0.076,0.251,0.211,"WB","Compartment","muscat_edgeR"
"Man1b1","NKT_cells",0.146,4.85,0.185,0.677,0.824,0.806,"WB","Compartment","muscat_edgeR"
"Dpp7","NKT_cells",0.356,3.16,0.558,0.472,0.679,0.649,"WB","Compartment","muscat_edgeR"
"Uap1l1","NKT_cells",-0.765,3.7,2.47,0.148,0.359,0.317,"WB","Compartment","muscat_edgeR"
"Abca2","NKT_cells",-0.625,5.98,6.82,0.0262,0.145,0.113,"WB","Compartment","muscat_edgeR"
"Paxx","NKT_cells",0.0386,5.01,0.0205,0.889,0.947,0.94,"WB","Compartment","muscat_edgeR"
"Fbxw5","NKT_cells",0.177,4.4,0.334,0.576,0.755,0.732,"WB","Compartment","muscat_edgeR"
"Traf2","NKT_cells",-0.22,5.14,0.94,0.355,0.578,0.545,"WB","Compartment","muscat_edgeR"
"Edf1","NKT_cells",0.251,7.7,1.63,0.232,0.455,0.418,"WB","Compartment","muscat_edgeR"
"Phpt1","NKT_cells",-0.0142,5.49,0.00295,0.958,0.98,0.978,"WB","Compartment","muscat_edgeR"
"Rabl6","NKT_cells",0.0944,6.03,0.305,0.593,0.766,0.745,"WB","Compartment","muscat_edgeR"
"Bmyc","NKT_cells",0.118,4.61,0.149,0.708,0.844,0.828,"WB","Compartment","muscat_edgeR"
"Camsap1","NKT_cells",-0.633,4.52,4.5,0.0602,0.222,0.184,"WB","Compartment","muscat_edgeR"
"Ubac1","NKT_cells",-0.208,5.14,0.817,0.388,0.607,0.575,"WB","Compartment","muscat_edgeR"
"Tmem250-ps","NKT_cells",-0.918,3.59,3.13,0.108,0.302,0.26,"WB","Compartment","muscat_edgeR"
"Gpsm1","NKT_cells",-0.0352,4.38,0.0164,0.901,0.952,0.946,"WB","Compartment","muscat_edgeR"
"Dnlz","NKT_cells",-0.112,4.42,0.173,0.687,0.83,0.813,"WB","Compartment","muscat_edgeR"
"Snapc4","NKT_cells",-0.223,4.66,0.572,0.467,0.675,0.644,"WB","Compartment","muscat_edgeR"
"Gm13563","NKT_cells",0.039,3.04,0.00324,0.956,0.979,0.977,"WB","Compartment","muscat_edgeR"
"Entr1","NKT_cells",-0.137,6.05,0.512,0.491,0.693,0.664,"WB","Compartment","muscat_edgeR"
"Pmpca","NKT_cells",-0.173,5.04,0.506,0.493,0.695,0.666,"WB","Compartment","muscat_edgeR"
"Inpp5e","NKT_cells",0.541,3.83,2.2,0.17,0.386,0.345,"WB","Compartment","muscat_edgeR"
"Sec16a","NKT_cells",-0.184,6.06,0.95,0.353,0.576,0.542,"WB","Compartment","muscat_edgeR"
"Notch1","NKT_cells",-0.699,6.32,7.73,0.0196,0.126,0.096,"WB","Compartment","muscat_edgeR"
"Agpat2","NKT_cells",0.396,4.51,1.99,0.189,0.409,0.369,"WB","Compartment","muscat_edgeR"
"Snhg7","NKT_cells",-0.615,4.43,4.14,0.0697,0.24,0.201,"WB","Compartment","muscat_edgeR"
"Lcn4","NKT_cells",0.789,4.23,5.6,0.0399,0.179,0.144,"WB","Compartment","muscat_edgeR"
"Surf6","NKT_cells",-0.841,4.69,9.51,0.0117,0.0993,0.0726,"WB","Compartment","muscat_edgeR"
"Med22","NKT_cells",0.0394,3.53,0.0107,0.92,0.96,0.956,"WB","Compartment","muscat_edgeR"
"Rpl7a","NKT_cells",0.343,10.3,6.08,0.0337,0.165,0.131,"WB","Compartment","muscat_edgeR"
"Surf1","NKT_cells",0.284,5.78,2.16,0.173,0.391,0.35,"WB","Compartment","muscat_edgeR"
"Surf2","NKT_cells",0.713,5.24,10.9,0.00819,0.0833,0.0599,"WB","Compartment","muscat_edgeR"
"Surf4","NKT_cells",0.111,5.84,0.337,0.575,0.754,0.731,"WB","Compartment","muscat_edgeR"
"Rexo4","NKT_cells",-0.0433,5.65,0.0432,0.84,0.921,0.912,"WB","Compartment","muscat_edgeR"
"Cacfd1","NKT_cells",-0.2,3.99,0.314,0.588,0.763,0.741,"WB","Compartment","muscat_edgeR"
"Brd3","NKT_cells",-0.303,5.8,1.58,0.238,0.462,0.425,"WB","Compartment","muscat_edgeR"
"Wdr5","NKT_cells",-0.205,5.1,0.752,0.407,0.623,0.592,"WB","Compartment","muscat_edgeR"
"Rxra","NKT_cells",-0.2,3.55,0.125,0.731,0.858,0.843,"WB","Compartment","muscat_edgeR"
"Olfm1","NKT_cells",-0.184,4.76,0.253,0.626,0.79,0.769,"WB","Compartment","muscat_edgeR"
"Mrps2","NKT_cells",-0.339,3.63,0.826,0.385,0.604,0.572,"WB","Compartment","muscat_edgeR"
"Ralgds","NKT_cells",0.258,3.26,0.382,0.55,0.738,0.713,"WB","Compartment","muscat_edgeR"
"Gtf3c5","NKT_cells",-0.515,3.84,1.15,0.309,0.533,0.499,"WB","Compartment","muscat_edgeR"
"Tsc1","NKT_cells",-0.331,5.45,1.47,0.254,0.479,0.443,"WB","Compartment","muscat_edgeR"
"Gtf3c4","NKT_cells",-0.875,3.77,6.07,0.0338,0.166,0.131,"WB","Compartment","muscat_edgeR"
"Ddx31","NKT_cells",-0.509,4.37,2.81,0.125,0.327,0.286,"WB","Compartment","muscat_edgeR"
"Ttf1","NKT_cells",-0.119,5.81,0.299,0.597,0.769,0.747,"WB","Compartment","muscat_edgeR"
"Setx","NKT_cells",-0.00135,7.57,0.0000781,0.993,0.997,0.997,"WB","Compartment","muscat_edgeR"
"Ntng2","NKT_cells",-0.938,4.89,6.67,0.0275,0.148,0.116,"WB","Compartment","muscat_edgeR"
"6530402F18Rik","NKT_cells",-0.422,4.03,1.17,0.305,0.53,0.496,"WB","Compartment","muscat_edgeR"
"Med27","NKT_cells",-0.376,5.56,3.05,0.112,0.308,0.266,"WB","Compartment","muscat_edgeR"
"Rapgef1","NKT_cells",-0.638,7.44,10.6,0.00886,0.0873,0.0624,"WB","Compartment","muscat_edgeR"
"Trub2","NKT_cells",-0.57,4.17,2.44,0.149,0.36,0.319,"WB","Compartment","muscat_edgeR"
"Coq4","NKT_cells",-0.845,2.98,2.51,0.145,0.355,0.314,"WB","Compartment","muscat_edgeR"
"Slc27a4","NKT_cells",-0.273,4.03,0.449,0.518,0.713,0.687,"WB","Compartment","muscat_edgeR"
"Urm1","NKT_cells",0.252,4.78,0.908,0.363,0.585,0.552,"WB","Compartment","muscat_edgeR"
"Odf2","NKT_cells",-0.297,5.8,2.08,0.18,0.399,0.359,"WB","Compartment","muscat_edgeR"
"Gle1","NKT_cells",0.0825,5.41,0.173,0.687,0.83,0.813,"WB","Compartment","muscat_edgeR"
"Sptan1","NKT_cells",-0.162,7.39,1.12,0.315,0.539,0.505,"WB","Compartment","muscat_edgeR"
"Set","NKT_cells",-0.275,8.39,2.51,0.145,0.355,0.314,"WB","Compartment","muscat_edgeR"
"Zdhhc12","NKT_cells",-0.287,3.28,0.311,0.589,0.764,0.742,"WB","Compartment","muscat_edgeR"
"Zer1","NKT_cells",0.0174,5,0.00522,0.944,0.973,0.97,"WB","Compartment","muscat_edgeR"
"Tbc1d13","NKT_cells",-0.627,4.24,4.51,0.06,0.222,0.183,"WB","Compartment","muscat_edgeR"
"Endog","NKT_cells",-0.333,4.29,1.11,0.316,0.54,0.506,"WB","Compartment","muscat_edgeR"
"Spout1","NKT_cells",0.151,4.09,0.171,0.688,0.831,0.814,"WB","Compartment","muscat_edgeR"
"Lrrc8a","NKT_cells",0.0723,3.71,0.0417,0.842,0.923,0.914,"WB","Compartment","muscat_edgeR"
"Nup188","NKT_cells",-0.579,5.01,5.69,0.0386,0.176,0.141,"WB","Compartment","muscat_edgeR"
"Sh3glb2","NKT_cells",0.0615,4.78,0.0655,0.803,0.901,0.89,"WB","Compartment","muscat_edgeR"
"Ptpa","NKT_cells",0.0732,5.94,0.128,0.728,0.856,0.841,"WB","Compartment","muscat_edgeR"
"Ntmt1","NKT_cells",0.199,4.31,0.51,0.492,0.694,0.665,"WB","Compartment","muscat_edgeR"
"Asb6","NKT_cells",0.576,4.53,5.18,0.0464,0.194,0.157,"WB","Compartment","muscat_edgeR"
"Tor1b","NKT_cells",0.349,4.78,1.85,0.204,0.426,0.387,"WB","Compartment","muscat_edgeR"
"Tor1a","NKT_cells",0.214,5.07,0.785,0.397,0.615,0.583,"WB","Compartment","muscat_edgeR"
"BC005624","NKT_cells",0.458,6.06,3.02,0.113,0.31,0.269,"WB","Compartment","muscat_edgeR"
"Usp20","NKT_cells",-0.664,4.96,7.17,0.0234,0.138,0.106,"WB","Compartment","muscat_edgeR"
"Fnbp1","NKT_cells",-0.277,8.71,3.36,0.097,0.284,0.244,"WB","Compartment","muscat_edgeR"
"Gpr107","NKT_cells",-0.418,4.7,1.75,0.216,0.439,0.401,"WB","Compartment","muscat_edgeR"
"Ass1","NKT_cells",0.0894,5.35,0.126,0.73,0.857,0.842,"WB","Compartment","muscat_edgeR"
"Fubp3","NKT_cells",-0.398,3.82,1.02,0.337,0.56,0.527,"WB","Compartment","muscat_edgeR"
"Exosc2","NKT_cells",-0.308,4.51,1.14,0.31,0.535,0.5,"WB","Compartment","muscat_edgeR"
"Abl1","NKT_cells",-0.0153,5.73,0.00526,0.944,0.973,0.97,"WB","Compartment","muscat_edgeR"
"Qrfp","NKT_cells",0.942,5.07,9.9,0.0105,0.0943,0.0686,"WB","Compartment","muscat_edgeR"
"Nup214","NKT_cells",0.216,6.19,1.56,0.24,0.465,0.427,"WB","Compartment","muscat_edgeR"
"Fam78a","NKT_cells",-0.514,6.42,6.75,0.0269,0.146,0.114,"WB","Compartment","muscat_edgeR"
"Prrc2b","NKT_cells",-0.49,7.69,9.14,0.013,0.105,0.0766,"WB","Compartment","muscat_edgeR"
"Uck1","NKT_cells",0.598,4.58,4.35,0.0639,0.229,0.19,"WB","Compartment","muscat_edgeR"
"Swi5","NKT_cells",-0.00619,7.03,0.00151,0.97,0.986,0.985,"WB","Compartment","muscat_edgeR"
"Golga2","NKT_cells",-0.409,5.26,2.38,0.155,0.367,0.326,"WB","Compartment","muscat_edgeR"
"Ciz1","NKT_cells",0.157,5.57,0.333,0.577,0.756,0.732,"WB","Compartment","muscat_edgeR"
"Bbln","NKT_cells",0.411,5.29,1.77,0.213,0.436,0.398,"WB","Compartment","muscat_edgeR"
"Lcn2","NKT_cells",-3.51,6.5,30.1,0.00028,0.014,0.0107,"WB","Compartment","muscat_edgeR"
"Slc25a25","NKT_cells",1.4,4.89,31,0.00025,0.013,0.01,"WB","Compartment","muscat_edgeR"
"Eeig1","NKT_cells",-0.447,7.05,6.25,0.0317,0.16,0.126,"WB","Compartment","muscat_edgeR"
"Dpm2","NKT_cells",0.49,4.97,3.09,0.11,0.305,0.263,"WB","Compartment","muscat_edgeR"
"St6galnac4","NKT_cells",-0.0715,4.46,0.0652,0.804,0.902,0.89,"WB","Compartment","muscat_edgeR"
"Fpgs","NKT_cells",0.0982,3.55,0.0532,0.822,0.912,0.902,"WB","Compartment","muscat_edgeR"
"Cdk9","NKT_cells",-0.282,6.05,1.24,0.292,0.519,0.484,"WB","Compartment","muscat_edgeR"
"Sh2d3c","NKT_cells",-0.503,6.83,8.43,0.0159,0.114,0.0856,"WB","Compartment","muscat_edgeR"
"Tor2a","NKT_cells",0.359,4.66,2.06,0.182,0.401,0.361,"WB","Compartment","muscat_edgeR"
"Rpl12","NKT_cells",0.337,11.7,5.05,0.0487,0.198,0.161,"WB","Compartment","muscat_edgeR"
"Slc2a8","NKT_cells",-0.0887,3.49,0.0387,0.848,0.925,0.917,"WB","Compartment","muscat_edgeR"
"Garnl3","NKT_cells",-2.03,3.18,11.1,0.00768,0.0801,0.0577,"WB","Compartment","muscat_edgeR"
"Ralgps1","NKT_cells",-0.21,3.86,0.365,0.56,0.744,0.72,"WB","Compartment","muscat_edgeR"
"Zbtb34","NKT_cells",-1.16,3.18,5.06,0.0487,0.198,0.161,"WB","Compartment","muscat_edgeR"
"Zbtb43","NKT_cells",-0.333,4.18,1.1,0.319,0.542,0.509,"WB","Compartment","muscat_edgeR"
"Mvb12b","NKT_cells",-0.948,5.24,15.6,0.00278,0.0503,0.0344,"WB","Compartment","muscat_edgeR"
"Pbx3","NKT_cells",-0.216,4.8,0.736,0.411,0.626,0.596,"WB","Compartment","muscat_edgeR"
"Mapkap1","NKT_cells",-0.197,6.59,1.49,0.251,0.476,0.44,"WB","Compartment","muscat_edgeR"
"Gapvd1","NKT_cells",0.0499,6.85,0.0973,0.762,0.877,0.863,"WB","Compartment","muscat_edgeR"
"Hspa5","NKT_cells",0.577,8.84,10.3,0.00943,0.0894,0.0647,"WB","Compartment","muscat_edgeR"
"Rabepk","NKT_cells",-0.41,4.34,1.93,0.196,0.417,0.377,"WB","Compartment","muscat_edgeR"
"Gm57450","NKT_cells",2,3.57,14.2,0.00376,0.0572,0.0397,"WB","Compartment","muscat_edgeR"
"Fbxw2","NKT_cells",0.309,6.14,3.15,0.107,0.3,0.259,"WB","Compartment","muscat_edgeR"
"Psmd5","NKT_cells",-0.207,5.04,0.853,0.378,0.598,0.566,"WB","Compartment","muscat_edgeR"
